:START_ID,:END_ID,relation,:TYPE
10186,40013,类型,类型
10186,40021,类型,类型
10186,40007,类型,类型
10187,40013,类型,类型
10187,40016,类型,类型
10188,40013,类型,类型
10188,40021,类型,类型
10188,40027,类型,类型
10189,40019,类型,类型
10189,40026,类型,类型
10189,40022,类型,类型
10190,40013,类型,类型
10190,40001,类型,类型
10191,40015,类型,类型
10191,40002,类型,类型
10192,40013,类型,类型
10192,40025,类型,类型
10192,40027,类型,类型
10193,40013,类型,类型
10193,40027,类型,类型
10193,40026,类型,类型
10194,40019,类型,类型
10194,40026,类型,类型
10195,40013,类型,类型
10195,40025,类型,类型
10196,40013,类型,类型
10196,40007,类型,类型
10197,40013,类型,类型
10197,40027,类型,类型
10198,40015,类型,类型
10198,40021,类型,类型
10198,40007,类型,类型
10199,40013,类型,类型
10199,40027,类型,类型
10200,40015,类型,类型
10200,40021,类型,类型
10200,40007,类型,类型
10201,40013,类型,类型
10201,40027,类型,类型
10202,40013,类型,类型
10202,40001,类型,类型
10202,40012,类型,类型
10203,40021,类型,类型
10203,40007,类型,类型
10203,40023,类型,类型
10204,40016,类型,类型
10204,40027,类型,类型
10205,40013,类型,类型
10205,40025,类型,类型
10205,40026,类型,类型
10205,40014,类型,类型
10206,40013,类型,类型
10206,40016,类型,类型
10206,40025,类型,类型
10207,40015,类型,类型
10207,40002,类型,类型
10208,40002,类型,类型
10208,40021,类型,类型
10208,40007,类型,类型
10209,40013,类型,类型
10209,40001,类型,类型
10210,40013,类型,类型
10210,40001,类型,类型
10211,40015,类型,类型
10211,40025,类型,类型
10211,40003,类型,类型
10211,40014,类型,类型
10212,40013,类型,类型
10212,40016,类型,类型
10212,40015,类型,类型
10213,40021,类型,类型
10213,40007,类型,类型
10213,40027,类型,类型
10214,40013,类型,类型
10214,40025,类型,类型
10215,40016,类型,类型
10215,40025,类型,类型
10215,40005,类型,类型
10216,40016,类型,类型
10216,40015,类型,类型
10216,40027,类型,类型
10216,40026,类型,类型
10217,40013,类型,类型
10217,40027,类型,类型
10218,40013,类型,类型
10218,40027,类型,类型
10219,40013,类型,类型
10219,40001,类型,类型
10220,40013,类型,类型
10221,40013,类型,类型
10221,40001,类型,类型
10221,40012,类型,类型
10222,40013,类型,类型
10222,40016,类型,类型
10222,40025,类型,类型
10223,40002,类型,类型
10223,40021,类型,类型
10223,40007,类型,类型
10224,40013,类型,类型
10224,40007,类型,类型
10224,40022,类型,类型
10225,40013,类型,类型
10225,40021,类型,类型
10225,40027,类型,类型
10225,40026,类型,类型
10226,40002,类型,类型
10226,40007,类型,类型
10226,40022,类型,类型
10227,40013,类型,类型
10227,40004,类型,类型
10228,40015,类型,类型
10228,40002,类型,类型
10228,40022,类型,类型
10229,40013,类型,类型
10229,40002,类型,类型
10230,40013,类型,类型
10230,40002,类型,类型
10231,40013,类型,类型
10231,40007,类型,类型
10231,40027,类型,类型
10232,40015,类型,类型
10232,40002,类型,类型
10232,40022,类型,类型
10233,40013,类型,类型
10233,40002,类型,类型
10233,40027,类型,类型
10234,40015,类型,类型
10234,40011,类型,类型
10234,40017,类型,类型
10235,40015,类型,类型
10235,40002,类型,类型
10235,40007,类型,类型
10235,40027,类型,类型
10236,40015,类型,类型
10236,40022,类型,类型
10237,40008,类型,类型
10237,40022,类型,类型
10238,40013,类型,类型
10238,40025,类型,类型
10239,40013,类型,类型
10239,40004,类型,类型
10239,40011,类型,类型
10240,40015,类型,类型
10240,40007,类型,类型
10240,40018,类型,类型
10241,40013,类型,类型
10241,40025,类型,类型
10241,40019,类型,类型
10242,40013,类型,类型
10242,40016,类型,类型
10242,40022,类型,类型
10243,40013,类型,类型
10243,40021,类型,类型
10243,40007,类型,类型
10243,40027,类型,类型
10244,40013,类型,类型
10244,40002,类型,类型
10244,40007,类型,类型
10245,40013,类型,类型
10245,40027,类型,类型
10246,40013,类型,类型
10246,40025,类型,类型
10246,40017,类型,类型
10247,40013,类型,类型
10247,40016,类型,类型
10248,40006,类型,类型
10248,40001,类型,类型
10249,40013,类型,类型
10249,40025,类型,类型
10249,40001,类型,类型
