index:ID,actor,:LABEL
30614,钟绍图,演员
30615,基里安·墨菲,演员
30616,苏菲·玛索,演员
30617,柯克·鲍兹,演员
30618,恩里奇·雷德曼,演员
30619,家弓家正,演员
30620,迪米特里·格里特萨斯,演员
30621,渡边哲,演员
30622,乔治·马丁,演员
30623,连姆·尼森,演员
30624,乔什·平茨,演员
30625,梅利莎·乔治,演员
30626,纳瓦祖丁·席迪圭,演员
30627,瓦内萨·马赛尔,演员
30628,Luigi De Luca,演员
30629,河正宇,演员
30630,路易·茹韦,演员
30631,查尔斯·丹斯,演员
30632,查理·哈纳,演员
30633,乔·柯布登,演员
30634,艾玛·特伦布莱,演员
30635,玛丽·佩里,演员
30636,关弘子,演员
30637,安德鲁·斯科特,演员
30638,卡洛尔·奈,演员
30639,吕齐,演员
30640,乔纳森·菲利普斯,演员
30641,Luigi Moneta,演员
30642,Pat Flaherty,演员
30643,亚丽姗卓·全,演员
30644,菲利普·塞默·霍夫曼,演员
30645,卡罗琳·皮克曼,演员
30646,沈慧芬,演员
30647,瑞秋·卡帕尼,演员
30648,麦克·辛,演员
30649,Tom Riis Farrell,演员
30650,杰弗·卡伦,演员
30651,沙拉万提·塞纳特,演员
30652,瑙玛·希拉,演员
30653,艾斯特·加瑞尔,演员
30654,布里吉特·芳达,演员
30655,朱诺·坦普尔,演员
30656,田中庆太,演员
30657,基恩·鲁弗洛,演员
30658,里特维克·萨霍里,演员
30659,John Power,演员
30660,水谷优子,演员
30661,乔什·帕斯,演员
30662,文森特·卡索,演员
30663,罗家英,演员
30664,史蒂芬·柯林斯,演员
30665,迈克·克拉克·邓肯,演员
30666,小林桂树,演员
30667,纳撒尼尔·布佐尼克,演员
30668,狄迪尔·弗拉蒙,演员
30669,西格妮·韦弗,演员
30670,安德烈·瑟韦林,演员
30671,朱自清,演员
30672,查尔斯·劳顿,演员
30673,让-保罗·博奈雷,演员
30674,凯伦·皮特曼,演员
30675,加古临王,演员
30676,大谷育江,演员
30677,茱莉亚·蕾娜,演员
30678,派屈克·福吉特,演员
30679,胜沼纪义,演员
30680,耿乐,演员
30681,芭芭拉·赫希,演员
30682,迈克尔·菲奥里,演员
30683,辛·劳洛,演员
